FUNCAO,ARQUIVO
CLIENTES,CLIENTES.DBF
FORNECEDORES,FORNECE.DBF
TÉCNICOS E VENDEDORES,TECNICO.DBF
PEDIDO DE VENDAS E ORÇAMENTOS,VENDA.DBF
LISTA DOS PRODUTOS EM CADA PEDIDO DE VENDAS,VENDA2.DBF
CADASTRO DOS PRODUTOS E SERVIÇOS,PRODUTOS.DBF
CADASTRO DOS GRUPOS DE CADA PRODUTOS E SERVIÇOS,GRUPOS.DBF
CONTROLE DE NUMERAÇÕES,SERIE.DBF
CONTAS A RECEBER,RECEBER.DBF
CONTAS A PAGAR,PAGAR.DBF
MOVIMENTO DE CAIXA,CAIXA.DBF
PLANO DE CONTAS,CONTAS.DBF
CENTRO DE CUSTOS,NIVEL.DBF
CADASTRO DO CAIXA,CADASTRO.DBF
MARCAS DOS PRODUTOS,MARCA.DBF
ORDEM DE SERVIÇO,ORDEM.DBF
ORDEM DE SERVIÇO - PRODUTOS,ORDEM2.DBF
CADASTRO DE EQUIPAMENTOS,EQUIPA.DBF
CADASTRO DE EQUIPAMENTOS,EQUIPAME.DBF
MARCA DOS EQUIPAMENTOS,MARCASDBF
MODELO DOS EQUIPAMENTOS,MODELO.DBF
,
